,incident_type,Incident_Year,Reported_Month,Region_of_Origin,Region_of_Incident,Number_of_Dead,Minimum_Estimated_Number_of_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Migration_Route,UNSD_Geographical_Grouping
819,Incident,2015,October,Other / Unknown,Mediterranean,8,0,0,0,0,0,0,Mediterranean Region,Uncategorized
821,Incident,2015,October,Central America,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
823,Incident,2015,October,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
824,Incident,2015,October,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
825,Incident,2015,October,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
826,Incident,2015,October,Eastern Africa,Africa,30,0,0,0,0,0,1,Sahara Desert crossing,Africa
827,Incident,2015,October,Eastern Africa,Africa,20,0,0,0,0,0,0,Sahara Desert crossing,Africa
828,Incident,2015,October,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
831,Incident,2015,October,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
833,Incident,2015,October,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
834,Incident,2015,October,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
835,Incident,2015,October,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
838,Incident,2015,October,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
839,Incident,2015,October,Central America,Central America,1,0,0,1,0,0,1,US-Mexico border crossing,Central America
840,Incident,2015,October,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
841,Incident,2015,October,Western / Southern Asia,Mediterranean,2,1,0,0,0,1,1,Mediterranean Region,Uncategorized
842,Incident,2015,October,Other / Unknown,Mediterranean,6,0,0,0,0,1,1,Mediterranean Region,Uncategorized
843,Incident,2015,October,Western / Southern Asia,Mediterranean,12,11,0,5,2,5,1,Mediterranean Region,Uncategorized
844,Incident,2015,October,Western / Southern Asia,Mediterranean,4,1,0,1,0,4,1,Mediterranean Region,Uncategorized
845,Incident,2015,October,Other / Unknown,Mediterranean,43,0,0,0,0,0,1,Mediterranean Region,Uncategorized
846,Incident,2015,October,Southern Asia,Mediterranean,3,7,0,2,1,2,1,Mediterranean Region,Uncategorized
847,Incident,2015,October,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
848,Incident,2015,October,Southern Asia,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
849,Incident,2015,October,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
850,Incident,2015,October,Western Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
851,Incident,2015,October,Western / Southern Asia,Europe,1,0,3,0,1,0,0,EU Boarder,Europe
853,Incident,2015,October,Western / Southern Asia,Mediterranean,1,1,0,0,0,0,1,Mediterranean Region,Uncategorized
854,Incident,2015,October,Western / Southern Asia,Mediterranean,2,0,0,1,1,2,1,Mediterranean Region,Uncategorized
855,Incident,2015,October,Western / Southern Asia,Mediterranean,3,1,0,0,1,3,1,Mediterranean Region,Uncategorized
856,Incident,2015,October,Western / Southern Asia,Mediterranean,3,0,0,0,3,2,1,Mediterranean Region,Uncategorized
857,Incident,2015,October,Western / Southern Asia,Mediterranean,3,0,0,1,1,2,1,Mediterranean Region,Uncategorized
858,Split Incident,2015,October,Western / Southern Asia,Mediterranean,57,-1,274,7,17,20,1,Mediterranean Region,Uncategorized
859,Incident,2015,October,Western / Southern Asia,Mediterranean,19,0,0,1,2,11,1,Mediterranean Region,Uncategorized
860,Incident,2015,October,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
861,Incident,2015,October,Western / Southern Asia,Mediterranean,1,0,0,0,0,1,0,Mediterranean Region,Uncategorized
862,Incident,2015,October,Western / Southern Asia,Mediterranean,1,0,0,1,0,1,0,Mediterranean Region,Uncategorized
863,Incident,2015,October,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
864,Incident,2015,October,Western / Southern Asia,Europe,1,0,0,1,0,0,1,Western Balkans,Europe
865,Incident,2015,October,Central America,Central America,1,0,0,0,0,0,1,US-Mexico border crossing,Central America
866,Incident,2015,October,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
868,Incident,2015,October,Other / Unknown,Mediterranean,7,32,15,0,4,0,1,Mediterranean Region,Uncategorized
869,Incident,2015,October,Western / Southern Asia,Mediterranean,3,4,0,1,0,2,1,Mediterranean Region,Uncategorized
870,Incident,2015,October,Western / Southern Asia,Mediterranean,0,2,0,0,0,0,1,Mediterranean Region,Uncategorized
872,Incident,2015,October,Western / Southern Asia,Mediterranean,4,0,0,0,0,4,1,Mediterranean Region,Uncategorized
873,Incident,2015,October,Western / Southern Asia,Mediterranean,1,0,0,0,0,0,0,Mediterranean Region,Uncategorized
874,Incident,2015,October,Western / Southern Asia,Mediterranean,1,0,0,0,0,1,1,Mediterranean Region,Uncategorized
876,Incident,2015,October,Southern Asia,Europe,1,0,0,1,0,0,1,Western Balkans,Europe
877,Incident,2015,October,Sub-Saharan Africa,Mediterranean,4,0,0,0,0,0,1,Mediterranean Region,Uncategorized
878,Incident,2015,October,Western / Southern Asia,Mediterranean,4,0,0,1,0,3,0,Mediterranean Region,Uncategorized
880,Incident,2015,October,Other / Unknown,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
881,Incident,2015,October,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
882,Incident,2015,October,Other / Unknown,Africa,7,0,0,0,0,0,1,Sahara Desert crossing,Africa
883,Incident,2015,October,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
884,Incident,2015,October,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
885,Incident,2015,October,Other / Unknown,Africa,5,0,0,0,0,0,0,Sahara Desert crossing,Africa
886,Incident,2015,November,Western / Southern Asia,Mediterranean,11,0,0,5,0,6,1,Mediterranean Region,Uncategorized
887,Incident,2015,November,Western / Southern Asia,Mediterranean,4,6,0,0,4,0,1,Mediterranean Region,Uncategorized
889,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
890,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
891,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
893,Incident,2015,November,Central America,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
894,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
895,Incident,2015,November,Southern Asia,Mediterranean,10,0,0,0,4,6,1,Mediterranean Region,Uncategorized
896,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
897,Incident,2015,November,Western / Southern Asia,Mediterranean,1,1,0,0,0,2,1,Mediterranean Region,Uncategorized
898,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
899,Incident,2015,November,Central America,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
901,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
903,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
904,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
906,Incident,2015,November,Western / Southern Asia,Mediterranean,14,1,0,0,0,7,1,Mediterranean Region,Uncategorized
907,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,0,Mediterranean Region,Uncategorized
908,Incident,2015,November,Western / Southern Asia,Mediterranean,4,2,0,0,0,0,1,Mediterranean Region,Uncategorized
909,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
910,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
911,Incident,2015,November,Eastern Africa,Africa,5,0,0,0,0,0,0,Sahara Desert crossing,Africa
912,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
913,Incident,2015,November,Other / Unknown,Europe,1,0,0,1,0,1,0,Western Balkans,Europe
914,Incident,2015,November,Western / Southern Asia,Europe,2,0,0,0,0,0,1,Western Balkans,Europe
916,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
919,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
921,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
923,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
924,Incident,2015,November,Eastern Africa,Africa,5,0,0,0,0,0,0,Sahara Desert crossing,Africa
925,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
926,Incident,2015,November,Eastern Africa,Asia,1,0,0,0,1,1,1,Horn of Africa to Yemen crossing,Uncategorized
927,Incident,2015,November,Northern Africa,Mediterranean,8,0,0,0,0,0,1,Mediterranean Region,Uncategorized
928,Split Incident,2015,November,Western / Southern Asia,Mediterranean,9,2,0,4,3,6,0,Mediterranean Region,Uncategorized
929,Incident,2015,November,Sub-Saharan Africa,Africa,1,2,0,1,2,0,1,Western Africa / Atlantic route to the Canary Islands,Uncategorized
931,Incident,2015,November,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
932,Incident,2015,November,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
933,Incident,2015,November,Latin America / Caribbean,Central America,1,0,0,0,1,0,0,US-Mexico border crossing,Central America
934,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
935,Incident,2015,November,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
936,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
937,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
938,Incident,2015,November,Western / Southern Asia,Mediterranean,9,6,0,1,0,1,1,Mediterranean Region,Uncategorized
939,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
941,Incident,2015,November,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
942,Incident,2015,November,Eastern Africa,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
943,Incident,2015,November,Eastern Africa,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
944,Incident,2015,November,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
946,Incident,2015,November,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
947,Incident,2015,November,Sub-Saharan Africa,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
948,Incident,2015,November,South America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
949,Incident,2015,November,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
952,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
953,Incident,2015,November,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
955,Incident,2015,November,Western / Southern Asia,Mediterranean,1,0,0,1,0,1,1,Mediterranean Region,Uncategorized
956,Incident,2015,November,Latin America / Caribbean,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
957,Incident,2015,November,Southern Asia,Mediterranean,4,0,0,0,0,4,1,Mediterranean Region,Uncategorized
958,Incident,2015,November,Western / Southern Asia,Mediterranean,5,0,0,1,2,2,1,Mediterranean Region,Uncategorized
959,Incident,2015,November,Central America,Central America,2,0,0,0,2,0,1,US-Mexico border crossing,Central America
961,Incident,2015,November,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
963,Incident,2015,November,Other / Unknown,Africa,4,0,0,0,0,0,0,Sahara Desert crossing,Africa
964,Incident,2015,November,Other / Unknown,Africa,12,0,0,0,0,0,0,Sahara Desert crossing,Africa
965,Incident,2015,December,Western / Southern Asia,Mediterranean,4,29,0,2,0,7,1,Mediterranean Region,Uncategorized
966,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
967,Incident,2015,December,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
968,Incident,2015,December,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
970,Incident,2015,December,Eastern Africa,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
971,Incident,2015,December,Northern Africa,Europe,1,0,0,0,1,0,1,Western Balkans,Europe
972,Incident,2015,December,Western / Southern Asia,Mediterranean,3,2,0,1,2,1,1,Mediterranean Region,Uncategorized
973,Incident,2015,December,Northern Africa,Europe,1,0,0,1,1,1,0,EU Boarder,Europe
977,Incident,2015,December,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
979,Incident,2015,December,Southern Asia,Mediterranean,6,0,8,0,0,6,1,Mediterranean Region,Uncategorized
980,Incident,2015,December,Sub-Saharan Africa,Africa,11,27,0,1,10,0,1,Western Africa / Atlantic route to the Canary Islands,Africa
982,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
983,Incident,2015,December,Western / Southern Asia,Mediterranean,17,8,26,6,4,6,1,Mediterranean Region,Uncategorized
984,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,18,0,0,1,1,Mediterranean Region,Uncategorized
985,Incident,2015,December,Central America,Central America,1,0,0,1,0,0,1,US-Mexico border crossing,Central America
986,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
987,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
988,Incident,2015,December,Eastern Africa,Africa,5,0,0,0,0,0,1,Sahara Desert crossing,Africa
989,Incident,2015,December,Central America,North America,1,0,0,1,0,0,1,US-Mexico border crossing,Northern America
991,Incident,2015,December,Western / Southern Asia,Mediterranean,4,0,0,1,2,1,1,Mediterranean Region,Uncategorized
992,Incident,2015,December,Western / Southern Asia,Mediterranean,4,9,7,0,0,0,1,Mediterranean Region,Uncategorized
994,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
996,Incident,2015,December,Western / Southern Asia,Mediterranean,3,3,12,0,0,3,1,Mediterranean Region,Uncategorized
997,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
998,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
1000,Incident,2015,December,Western / Southern Asia,Mediterranean,2,3,18,2,0,2,1,Mediterranean Region,Uncategorized
1002,Incident,2015,December,Eastern Africa,Africa,9,0,0,0,0,0,0,Sahara Desert crossing,Africa
1004,Incident,2015,December,Eastern Africa,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
1005,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
1006,Incident,2015,December,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1007,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
1008,Incident,2015,December,Eastern Africa,Africa,10,0,0,0,0,0,0,Sahara Desert crossing,Africa
1009,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
1010,Incident,2015,December,Eastern Africa,Africa,8,0,0,0,0,0,1,Sahara Desert crossing,Africa
1012,Incident,2015,December,Eastern Africa,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
1014,Incident,2015,December,Eastern Africa,Africa,34,0,0,0,0,0,0,Sahara Desert crossing,Africa
1015,Incident,2015,December,Eastern Africa,Africa,5,0,0,0,0,0,1,Sahara Desert crossing,Africa
1016,Incident,2015,December,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
1017,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
1018,Incident,2015,December,Western / Southern Asia,Mediterranean,2,0,200,0,0,2,1,Mediterranean Region,Uncategorized
1019,Incident,2015,December,Western / Southern Asia,Mediterranean,4,0,58,0,0,4,1,Mediterranean Region,Uncategorized
1020,Incident,2015,December,Western / Southern Asia,Mediterranean,5,0,92,0,1,3,1,Mediterranean Region,Uncategorized
1021,Incident,2015,December,Eastern Africa,Africa,8,0,0,0,0,0,0,Sahara Desert crossing,Africa
1023,Incident,2015,December,Eastern Africa,Africa,4,0,0,0,0,0,1,Sahara Desert crossing,Africa
1026,Incident,2015,December,Eastern Africa,Africa,5,0,0,0,0,0,1,Sahara Desert crossing,Africa
1027,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
1028,Incident,2015,December,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
1030,Incident,2015,December,Western / Southern Asia,Mediterranean,4,0,4,0,0,2,1,Mediterranean Region,Uncategorized
1031,Incident,2015,December,Western / Southern Asia,Mediterranean,4,0,0,0,0,3,1,Mediterranean Region,Uncategorized
1032,Incident,2015,December,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1034,Incident,2015,December,Western / Southern Asia,Mediterranean,18,0,14,4,0,10,1,Mediterranean Region,Uncategorized
1036,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,61,1,0,1,1,Mediterranean Region,Uncategorized
1037,Incident,2015,December,Western / Southern Asia,Mediterranean,2,0,0,1,1,1,1,Mediterranean Region,Uncategorized
1042,Incident,2015,December,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1045,Incident,2015,December,Eastern Africa,Africa,3,0,0,0,0,0,1,Sahara Desert crossing,Africa
1046,Incident,2015,December,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
1047,Incident,2015,December,Eastern Africa,Africa,6,0,0,0,0,0,1,Sahara Desert crossing,Africa
1048,Incident,2015,December,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
1051,Incident,2015,December,Eastern Africa,Africa,12,0,0,0,0,0,0,Sahara Desert crossing,Africa
1052,Incident,2015,December,Eastern Africa,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
1055,Incident,2015,December,Eastern Africa,Africa,23,0,0,0,0,0,1,Sahara Desert crossing,Africa
1056,Incident,2015,December,Eastern Africa,Africa,11,0,0,0,0,0,1,Sahara Desert crossing,Africa
1057,Incident,2015,December,Eastern Africa,Africa,36,0,0,0,0,0,0,Sahara Desert crossing,Africa
1058,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,1,0,1,1,Mediterranean Region,Uncategorized
1059,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
1060,Incident,2015,December,Southern Asia,Mediterranean,2,0,69,1,0,1,1,Mediterranean Region,Uncategorized
1061,Incident,2015,December,Western / Southern Asia,Mediterranean,13,1,15,2,4,7,1,Mediterranean Region,Uncategorized
1062,Incident,2015,December,Western / Southern Asia,Mediterranean,11,0,7,0,0,1,1,Mediterranean Region,Uncategorized
1063,Incident,2015,December,Other / Unknown,Mediterranean,1,0,509,0,0,0,1,Mediterranean Region,Uncategorized
1064,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,1,0,0,0,Mediterranean Region,Uncategorized
1065,Incident,2015,December,Western / Southern Asia,Mediterranean,20,0,21,0,0,11,1,Mediterranean Region,Uncategorized
1066,Incident,2015,December,Western / Southern Asia,Mediterranean,2,0,0,2,0,0,1,Mediterranean Region,Uncategorized
1067,Incident,2015,December,Southern Asia,Mediterranean,1,0,0,1,0,1,0,Mediterranean Region,Uncategorized
1068,Incident,2015,December,Central America,Central America,1,0,0,0,1,0,1,US-Mexico border crossing,Central America
1069,Incident,2015,December,Other / Unknown,Mediterranean,2,0,185,0,0,0,0,Mediterranean Region,Uncategorized
1070,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
1071,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
1073,Incident,2015,December,Western / Southern Asia,Mediterranean,1,0,0,1,0,1,1,Mediterranean Region,Uncategorized
1076,Incident,2015,December,Western / Southern Asia,Mediterranean,4,0,0,3,1,1,1,Mediterranean Region,Uncategorized
1077,Incident,2015,December,Southern Asia,Europe,1,0,0,0,0,0,0,EU Boarder,Europe
1078,Incident,2015,December,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1079,Incident,2015,December,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1080,Incident,2015,December,Latin America / Caribbean,North America,1,0,0,1,0,0,0,US-Mexico border crossing,Northern America
1081,Incident,2015,December,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1082,Incident,2015,December,Western / Southern Asia,Mediterranean,2,0,0,1,1,0,1,Mediterranean Region,Uncategorized
1087,Incident,2015,December,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
1088,Incident,2015,December,Other / Unknown,Africa,1,0,0,0,0,0,1,Sahara Desert crossing,Africa
1089,Incident,2015,December,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1090,Incident,2015,December,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1091,Incident,2015,December,Other / Unknown,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
1092,Incident,2015,December,Other / Unknown,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1093,Incident,2015,December,Other / Unknown,Africa,4,0,0,0,0,0,0,Sahara Desert crossing,Africa
1094,Cumulative Incident,2015,December,Other / Unknown,Mediterranean,7,0,0,0,0,0,1,Mediterranean Region,Uncategorized
1096,Cumulative Incident,2015,December,Latin America / Caribbean,North America,123,0,0,0,0,0,0,US-Mexico border crossing,Northern America
1097,Cumulative Incident,2015,December,South America,Caribbean,5,0,0,0,2,0,1,Other Routes,South America
1098,Cumulative Incident,2015,December,Western / Southern Asia,Europe,2,0,0,0,2,0,1,Western Balkans,Europe
1099,Incident,2015,July,Northern Africa,Europe,1,0,0,0,0,1,0,EU Boarder,Europe
1100,Incident,2015,October,Southern Asia,Europe,1,0,5,0,1,0,0,EU Boarder,Europe
1101,Split Incident,2015,November,Southern Asia,Europe,2,0,0,0,2,1,0,EU Boarder,Europe
1102,Incident,2015,November,Other / Unknown,Europe,1,0,7,0,1,0,0,EU Boarder,Europe
1103,Incident,2015,December,Southern Asia,Europe,1,0,0,0,1,0,0,EU Boarder,Europe
1104,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
1105,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,0,0,0,US-Mexico border crossing,Northern America
1106,Incident,2015,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1107,Incident,2015,April,Latin America / Caribbean,North America,2,0,0,0,2,0,0,US-Mexico border crossing,Northern America
1108,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
1109,Incident,2015,June,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1110,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1111,Incident,2015,July,Latin America / Caribbean,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
1112,Incident,2015,August,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1113,Incident,2015,August,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1114,Incident,2015,September,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1115,Incident,2015,October,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1116,Cumulative Incident,2015,December,Eastern Africa,Africa,8,27,0,0,0,0,1,Other Routes,Africa
1117,Incident,2016,January,Western / Southern Asia,Mediterranean,1,0,39,0,1,1,1,Mediterranean Region,Uncategorized
1119,Incident,2016,January,Sub-Saharan Africa,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
1120,Incident,2016,January,Western / Southern Asia,Mediterranean,4,0,0,1,3,0,1,Mediterranean Region,Uncategorized
1121,Incident,2016,January,Western / Southern Asia,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
1122,Incident,2016,January,Western / Southern Asia,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
1123,Incident,2016,January,Western / Southern Asia,Mediterranean,1,0,0,0,1,0,1,Mediterranean Region,Uncategorized
1124,Incident,2016,January,Sub-Saharan Africa,Mediterranean,3,0,0,0,3,0,1,Mediterranean Region,Uncategorized
1125,Incident,2016,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1126,Incident,2016,January,Latin America / Caribbean,North America,1,0,0,0,1,0,0,US-Mexico border crossing,Northern America
1127,Incident,2016,January,Other / Unknown,Mediterranean,1,0,0,1,0,0,1,Mediterranean Region,Uncategorized
1128,Incident,2016,January,Western / Southern Asia,Mediterranean,1,0,0,1,0,1,1,Mediterranean Region,Uncategorized
1129,Incident,2016,January,Other / Unknown,Mediterranean,36,0,8,2,0,3,1,Mediterranean Region,Uncategorized
1130,Incident,2016,January,Western / Southern Asia,Mediterranean,1,0,0,0,0,0,1,Mediterranean Region,Uncategorized
1132,Incident,2016,January,Northern Africa,Mediterranean,1,0,0,0,1,1,1,Mediterranean Region,Uncategorized
1134,Incident,2016,January,Eastern Africa,Africa,2,0,0,0,0,0,0,Sahara Desert crossing,Africa
1135,Incident,2016,January,Latin America / Caribbean,North America,4,0,0,1,0,0,0,US-Mexico border crossing,Northern America
1136,Incident,2016,January,Central America,North America,1,0,0,0,1,0,1,US-Mexico border crossing,Northern America
1140,Incident,2016,January,Eastern Africa,Africa,2,0,0,0,0,0,1,Sahara Desert crossing,Africa
1142,Incident,2016,January,Eastern Africa,Africa,1,0,0,0,0,0,0,Sahara Desert crossing,Africa
1143,Incident,2016,January,Eastern Africa,Africa,3,0,0,0,0,0,0,Sahara Desert crossing,Africa
1146,Incident,2016,January,Eastern Africa,Mediterranean,1,8,34,9,0,0,1,Mediterranean Region,Uncategorized
1147,Incident,2016,January,Southern Asia,Mediterranean,3,0,13,3,0,1,1,Mediterranean Region,Uncategorized
1148,Incident,2016,January,Other / Unknown,South America,9,6,15,0,0,0,1,Other Routes,South America
